"Part","Value","Device","Package","Description","PROD_ID","VALUE",
"C1","1.0uF","1.0UF-25V-+80/-20(0805)","0805-CAP","CAP-11625","CAP-11625","1.0uF",
"C2","10uF","10UF-16V-10%(TANT)","EIA3216","CAP-00811","CAP-00811","10uF",
"C3","1.0uF","1.0UF-25V-+80/-20(0805)","0805-CAP","CAP-11625","CAP-11625","1.0uF",
"C4","0.1uF","CAP0805","0805","Capacitor","","",
"C5","0.1uF","CAP0805","0805","Capacitor","","",
"D1","WS2812B","WS2812BNOSILK","WS2812B_NOSILK","WS2812B - Intelligent control LED integrated light source","","",
"J1","MYCON2_USB-MINI-B","MYCON2_USB-MINI-B","CON2_USB_MICRO_B_AT","","","",
"R1","22","RESISTOR0805-RES","0805","Resistor","","",
"R2","22","RESISTOR0805-RES","0805","Resistor","","",
"R3","10K","RESISTOR0805-RES","0805","Resistor","","",
"R4","330","RESISTOR0805-RES","0805","Resistor","","",
"R5","330","RESISTOR0805-RES","0805","Resistor","","",
"R6","330","RESISTOR0805-RES","0805","Resistor","","",
"R7","330","RESISTOR0805-RES","0805","Resistor","","",
"R8","330","RESISTOR0805-RES","0805","Resistor","","",
"S1","SWITCH-MOMENTARY-2SMD","SWITCH-MOMENTARY-2SMD","TACTILE-SWITCH-SMD","Various NO switches- pushbuttons, reed, etc","SWCH-08247","",
"SW1","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"SW1-2","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"SW2","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"SW2-2","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"SW3","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"SW3-2","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"SW4","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"SW4-2","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"SW5","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"SW5-2","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","CHERRY-MX-LED-MOD","Cherry MX series keyswitch with LED","","",
"U1","ATMEGA32U2-TQFP_MOD","ATMEGA32U2-TQFP_MOD","TQFP32-08_MOD","ATmega32u2","","",
"U1-2","ATMEGA32U2-QFN_MOD","ATMEGA32U2-QFN_MOD","QFN32_MOD","ATmega32u2","","",
"Y1","16MHZ","CSTCE16M0V53-R0","CST","Resonator","","",
